ano,data_dados,id_estacao,precipitacao_total,temperatura_max,temperatura_min
2023,2023-11-09,A621,0.0,37.5,36.1
2023,2023-11-09,A621,0.0,34.4,31.6
2023,2023-11-09,A621,0.0,19.7,18.4
2023,2023-11-09,A621,0.0,38.3,37.1
2023,2023-11-09,A621,0.0,36.9,35.6
2023,2023-11-09,A621,0.0,31.2,29.4
2023,2023-11-09,A621,0.0,35.7,34.3
2023,2023-11-09,A621,0.0,38.7,37.1
2023,2023-11-09,A621,0.0,31.9,29.0
2023,2023-11-09,A621,0.0,36.1,29.7
2023,2023-11-09,A621,0.0,37.5,36.5
2023,2023-11-09,A621,0.0,30.5,27.7
2023,2023-11-09,A621,0.0,22.0,21.5
2023,2023-11-09,A621,0.0,29.1,26.2
2023,2023-11-09,A621,0.0,22.2,21.7
2023,2023-11-09,A621,0.0,26.4,23.7
2023,2023-11-09,A621,0.0,20.3,18.9
2023,2023-11-09,A621,0.0,20.1,18.9
2023,2023-11-09,A621,0.0,20.4,19.9
2023,2023-11-09,A621,0.0,23.8,20.3
2023,2023-11-09,A621,0.0,21.4,20.3
2023,2023-11-09,A621,0.0,19.5,18.8
2023,2023-11-09,A621,0.0,19.5,18.8
2023,2023-11-09,A621,0.0,20.4,19.8
2023,2023-11-08,A621,0.0,20.3,18.4
2023,2023-11-08,A621,0.0,17.4,16.0
2023,2023-11-08,A621,0.0,32.3,31.4
2023,2023-11-08,A621,0.0,29.5,27.8
2023,2023-11-08,A621,0.0,31.4,28.5
2023,2023-11-08,A621,0.0,21.9,17.5
2023,2023-11-08,A621,0.0,32.8,31.8
2023,2023-11-08,A621,0.0,18.4,16.7
2023,2023-11-08,A621,0.0,16.9,16.0
2023,2023-11-08,A621,0.0,32.4,31.1
2023,2023-11-08,A621,0.0,31.8,30.5
2023,2023-11-08,A621,0.0,17.5,16.7
2023,2023-11-08,A621,0.0,19.6,18.3
2023,2023-11-08,A621,0.0,31.0,29.1
2023,2023-11-08,A621,0.0,21.0,20.0
2023,2023-11-08,A621,0.0,21.7,19.5
2023,2023-11-08,A621,0.0,28.5,23.5
2023,2023-11-08,A621,0.0,25.4,23.2
2023,2023-11-08,A621,0.0,26.7,25.2
2023,2023-11-08,A621,0.0,21.5,20.9
2023,2023-11-08,A621,0.0,21.6,19.1
2023,2023-11-08,A621,0.0,23.6,22.1
2023,2023-11-08,A621,0.0,28.2,26.3
